Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_HandSoldering,185.166,-40.894,270,bottom
C2,22pF,C_0805_HandSoldering,187.452,-39.751,90,bottom
C3,10uF,C_0805_HandSoldering,183.134,-30.226,90,bottom
C4,1uF (±10%),C_0805_HandSoldering,181.102,-30.226,90,bottom
C5,1uF,C_0805_HandSoldering,165.882,-36.322,180,bottom
C6,0.1uF,C_0805_HandSoldering,165.882,-38.354,180,bottom
C7,0.1uF,C_0805_HandSoldering,180.848,-50.292,0,bottom
C8,0.1uF,C_0805_HandSoldering,167.386,-47.244,90,bottom
C9,0.1uF,C_0805_HandSoldering,188.448,-36.068,0,bottom
D1,D,D_SOD-123,44.7802,-39.37,90,bottom
D2,D,D_SOD-123,54.7497,-63.246,90,bottom
D3,D,D_SOD-123,55.2704,-82.0801,90,bottom
D4,D,D_SOD-123,53.594,-101.346,90,bottom
D5,D,D_SOD-123,54.3814,-120.2182,90,bottom
D6,D,D_SOD-123,47.117,-139.3444,90,bottom
D7,D,D_SOD-123,68.7451,-37.5666,90,bottom
D8,D,D_SOD-123,73.7235,-63.0682,90,bottom
D9,D,D_SOD-123,79.248,-82.1944,90,bottom
D10,D,D_SOD-123,79.7179,-101.0158,90,bottom
D11,D,D_SOD-123,85.0519,-120.1293,90,bottom
D12,D,D_SOD-123,87.6554,-37.8968,90,bottom
D13,D,D_SOD-123,92.7354,-61.4553,90,bottom
D14,D,D_SOD-123,99.568,-84.074,78,bottom
D15,D,D_SOD-123,100.106198,-103.771599,78,bottom
D16,D,D_SOD-123,105.458094,-124.440384,78,bottom
D17,D,D_SOD-123,106.205601,-143.908037,78,bottom
D18,D,D_SOD-123,108.4326,-42.2148,78,bottom
D19,D,D_SOD-123,112.776,-67.31,78,bottom
D20,D,D_SOD-123,118.11,-88.138,78,bottom
D21,D,D_SOD-123,118.743731,-107.62089,78,bottom
D22,D,D_SOD-123,124.116946,-128.613944,78,bottom
D23,D,D_SOD-123,127,-46.1518,78,bottom
